claim_id,topic,claim,source_title,publisher,publication_date,access_date,source_type,url,confidence,notes
OPS-011,"TLP","FIRST states that TLP 2.0 is authoritative and uses RED, AMBER, GREEN and CLEAR","Traffic Light Protocol Version 2.0","FIRST",2022-08,2026-07-29,"Information-sharing standard",https://www.first.org/tlp/,High,"TLP:WHITE is deprecated"
OPS-012,"EPSS","FIRST EPSS estimates the probability of observing exploitation activity for a CVE during the next 30 days and EPSS v4 began publishing in March 2025","Exploit Prediction Scoring System","FIRST",,2026-07-29,"Threat prioritisation standard",https://www.first.org/epss/,High,"EPSS does not include business impact or compensating controls"
OPS-013,"Structured CTI","STIX 2.1 and TAXII 2.1 are OASIS standards for representing and exchanging cyber-threat information","STIX 2.1 and TAXII 2.1","OASIS",2021-06-10,2026-07-29,"Open standards",https://docs.oasis-open.org/cti/stix/v2.1/stix-v2.1.html,High,"TAXII is designed to exchange CTI including STIX content"
OPS-014,"Detection format","Sigma provides a generic detection-rule specification that can be converted to platform-specific query formats","Sigma Specification","SigmaHQ",,2026-07-29,"Open detection standard",https://sigmahq.io/sigma-specification/,High,"Production use still requires field mapping, tuning and testing"
OPS-015,"MISP modernisation","MISP Workbench beta was released in 2026 as an analyst-focused workspace for combining intelligence from multiple sources","MISP Workbench v1.0 beta Released","MISP Project",2026-03-13,2026-07-29,"Open-source project update",https://www.misp-project.org/2026/03/13/misp-workbench_beta_1.0_released.html/,High,"Supports shift from feed ingestion to analyst investigation"
OPS-016,"AI-enabled financial fraud","The FBI warned that criminals use generative AI to improve phishing, translation, identity documents, audio and video impersonation for financial fraud","Criminals Use Generative Artificial Intelligence to Facilitate Financial Fraud","FBI IC3",2024-12-03,2026-07-29,"Government fraud advisory",https://www.ic3.gov/PSA/2024/PSA241203,High,"Official warning supports process-verification controls; it does not quantify every AI-enabled loss"
OPS-017,"Caller ID spoofing","Europol reported that caller ID spoofing supports large-scale cross-border financial fraud and undermines trust in displayed telephone numbers","Position Paper on Caller ID Spoofing","Europol",2025-10-29,2026-07-29,"Law-enforcement policy paper",https://www.europol.europa.eu/publications-events/publications/position-paper-caller-id-spoofing,High,"Supports trusted-channel verification rather than reliance on displayed caller ID"
OPS-018,"Malicious traffic distribution systems","The FBI warned that malicious TDS infrastructure selectively redirects victims to financial phishing, scams or malware while showing safe content to non-targets and researchers","Cyber Criminals Redirecting Users to Fraudulent Websites with Malicious Traffic Distribution Systems","FBI IC3",2026-06-18,2026-07-29,"Government cyber-fraud advisory",https://www.ic3.gov/PSA/2026/PSA260618,High,"Supports full redirect-chain analysis and preservation of victim context"
OPS-019,"Microsoft 365 token phishing","The FBI reported that Kali365 PhaaS uses device-code phishing to obtain Microsoft 365 access and refresh tokens and access Outlook, Teams and OneDrive without collecting the victim's password","Kali365 Phishing-as-a-Service Kit Hijacks Microsoft 365 Access Tokens","FBI IC3",2026-05-21,2026-07-29,"Government cyber advisory",https://www.ic3.gov/PSA/2026/PSA260521,High,"First observed in April 2026; supports device-code and token-use detections"
OPS-020,"DPRK cryptocurrency social engineering","Mandiant reported an UNC1069 intrusion against a cryptocurrency-sector fintech entity using a compromised Telegram account, fake Zoom meeting, ClickFix and reported AI-generated video","UNC1069 Targets Cryptocurrency Sector with New Tooling and AI-Enabled Social Engineering","Mandiant",2026-02-09,2026-07-29,"Primary incident research",https://cloud.google.com/blog/topics/threat-intelligence/unc1069-targets-cryptocurrency-ai-social-engineering,High,"The source identified seven malware families and uses UNC1069 as a source-specific cluster label"
OPS-021,"DPRK software supply chain","GTIG reported that UNC1069 compromised the axios maintainer account and introduced plain-crypto-js into axios versions 1.14.1 and 0.30.4 on 31 March 2026 to deploy WAVESHAPER.V2 across Windows, macOS and Linux","North Korea-Nexus Threat Actor Compromises Widely Used Axios NPM Package in Supply Chain Attack","Google Threat Intelligence Group",2026-03-31,2026-07-29,"Primary threat research",https://cloud.google.com/blog/topics/threat-intelligence/north-korea-threat-actor-targets-axios-npm-package,High,"Demonstrates current developer and open-source supply-chain risk"
OPS-022,"AI-assisted exploitation","GTIG reported the first threat actor it assessed had used an AI-developed zero-day and broader use of AI for exploit development and adversarial workflows","Adversaries Leverage AI for Vulnerability Exploitation, Augmented Operations, and Initial Access","Google Threat Intelligence Group",2026-05-11,2026-07-29,"Primary threat research",https://cloud.google.com/blog/topics/threat-intelligence/ai-vulnerability-exploitation-initial-access,High,"Publisher assessment of AI assistance; does not mean every current exploit is AI-developed"
OPS-023,"Exploitation before patch","Mandiant stated that M-Trends 2026 data showed a mean time-to-exploit of negative seven days","Demystifying AI Exploits: A Blueprint for AI-Assisted Vulnerability Management","Mandiant",2026-07-16,2026-07-29,"Primary consulting and threat research",https://cloud.google.com/blog/topics/threat-intelligence/ai-assisted-vulnerability-management,High,"Supports exposure reduction, pre-patch mitigations and retrospective hunting"
OPS-024,"Open-source software supply chain","GTIG and Mandiant reported that most of the highest-impact supply-chain incidents they tracked during 2025 and early 2026 involved code repositories, dependencies and developer tools and assessed significant growth in large-scale open-source compromise","Batten Down Your Packages: Mitigation Guidance for Supply Chain Compromise","Google Threat Intelligence Group and Mandiant",2026-07-30,2026-08-03,"Primary threat research and mitigation guidance",https://cloud.google.com/blog/topics/threat-intelligence/mitigation-guidance-for-supply-chain-compromise,High,"Elevates package-registry, repository and CI/CD telemetry; does not change the project's actor ranking"
OPS-025,"Threat-actor naming","GTIG introduced a unified cryptonym-based actor naming system and published mappings including UNC1069/MASAN to MIDNIGHT NEPTUNE, APT41 to SPIRE CASTLE and FIN11 to RAZOR COMET","Updated Cyber Threat Actor Naming System","Google Threat Intelligence Group",2026-07-24,2026-08-03,"Primary vendor methodology announcement",https://cloud.google.com/blog/topics/threat-intelligence/updated-cyber-threat-actor-naming-system,High,"Mapping table appended 30 July 2026; historical source names remain preserved and cross-vendor equivalence is not assumed"
